1 	対魔力/A	弱体耐性をアップ[20%]	1 																				
1 	騎乗/C	quickカードの性能をアップ[6%]	2 																				
2 	対魔力/A	弱体耐性をアップ[20%]	1 																				
2 	騎乗/B	quickカードの性能をアップ[8%]	2 					アイコン組み合わせ															
3 	対魔力/B	弱体耐性をアップ[17.5%]	1 					name	icon_id	explain	E-	E	E+	D	D+	C	C+	B	B+	A	A+	A++	EX
4 	対魔力/B	弱体耐性をアップ[17.5%]	1 					対魔力	1	弱体耐性をアップ		10%		12.50%		15%		17.50%		20%			25%
4 	騎乗/C	quickカードの性能をアップ[6%]	2 					騎乗	2	quickカードの性能をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
5 	対魔力/C	弱体耐性をアップ[15%]	1 					単独行動	3	クリティカル威力をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
5 	騎乗/B	quickカードの性能をアップ[8%]	2 					単独顕現	3	クリティカル威力をアップ＆即死耐性をアップ＆精神異常耐性をアップ		2%&2%&2%				6%&6%&6%							
6 	騎乗/B	quickカードの性能をアップ[8%]	2 					陣地作成	4	Artsカードの性能をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
7 	対魔力/C	弱体耐性をアップ[15%]	1 					道具作成	5	弱体付与成功率をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
7 	騎乗/B	quickカードの性能をアップ[8%]	2 					道具作成(偽)	5	弱体付与成功率をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
7 	神性/D	与ダメージプラス状態を付与[125]	13 					道具作成(奇)	5	自身のHP回復量をアップ													10%
8 	対魔力/B	弱体耐性をアップ[17.5%]	1 					気配遮断	6	スター発生率をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
8 	騎乗/A	quickカードの性能をアップ[10%]	2 					気配遮断(陰)	6	スター発生率をアップ&弱体耐性をダウン[デメリット]								8%&10%					
8 	神性/B	与ダメージプラス状態を付与[175]	13 					狂化	7	Busterカードの性能をアップ	1%	2%	3%	4%	5%	6%	7%	8%	9%	10%	11%	11.50%	12%
9 	対魔力/B	弱体耐性をアップ[17.5%]	1 					復讐者	8	被ダメージ時に獲得するNPをアップ＆自身を除く味方全体(控え含む)の弱体耐性をダウン								18%&8%		20%&10%			
9 	騎乗/B	quickカードの性能をアップ[8%]	2 					忘却補正	9	クリティカル威力をアップ						6%		8%		10%			
9 	狂化/EX	Busterカードの性能をアップ[12%]	7 					自己回復(魔力)	10	毎ターンNP獲得状態を付与		2		3				3.5		3.8	4		
10 	対魔力/C	弱体耐性をアップ[15%]	1 					領域外の生命	11	自身に毎ターンスター獲得状態を付与&自身の弱体耐性をアップ													2&12%
10 	騎乗/B	quickカードの性能をアップ[8%]	2 					コスモリアクター	12	スター発生率をアップ										10%			
11 	対魔力/D	弱体耐性をアップ[12.5%]	1 					根源接続	13	Buster・Arts・Quickカードの性能をアップ						6%&6%&6%							
11 	単独行動/B	クリティカル威力をアップ[8%]	3 					神性	13	与ダメージプラス状態を付与	95	100		125		150		175	185	200		230	250
12 	対魔力/E	弱体耐性をアップ[10%]	1 					女神の神核	13	与ダメージプラス状態を付与＆弱体耐性アップ						200&20%		225&22.5%		250&25%			300&30%
12 	単独行動/A+	クリティカル威力をアップ[11%]	3 					ネガ・セイヴァー	13	ルーラークラスへの特攻状態を付与										150%			
12 	神性/B	与ダメージプラス状態を付与[175]	13 					狂気	14	Busterカード性能をアップ								8%					
13 	対魔力/D	弱体耐性をアップ[12.5%]	1 					サーフィン	15	Artsカード性能＆スター発生率をアップ										5%&5%&5%			
13 	単独行動/A	クリティカル威力をアップ[10%]	3 					無限の魔力供給	16	毎ターンNP獲得状態を付与						3							
14 	対魔力/D	弱体耐性をアップ[12.5%]	1 					混血	16	毎ターンNP獲得状態を付与													5
14 	単独行動/A	クリティカル威力をアップ[10%]	3 					ダブルクラス	17	効果なし	-	-	-	-	-	-	-	-	-	-	-	-	-
15 	対魔力/A	弱体耐性をアップ[20%]	1 					ハイ・サーヴァント	17	効果なし	-	-	-	-	-	-	-	-	-	-	-	-	-
15 	単独行動/A+	クリティカル威力をアップ[11%]	3 					境界にて	18	即死無効状態/魅了耐性を付与＆通常攻撃時に極めて低確率で即死効果が発生する状態を付与										100%&5%			
15 	女神の神核/EX	与ダメージプラス状態を付与＆弱体耐性アップ[300&30%]	13 					オルトリアクター	19	弱体耐性をアップ										20%			
16 	対魔力/C	弱体耐性をアップ[15%]	1 					無頼漢	20	Qucikカード性能＆クリティカル威力をアップ										5%&5%			
16 	単独行動/C	クリティカル威力をアップ[6%]	3 					獣の権能	20	クリティカル威力をアップ				8%									
17 	対魔力/C	弱体耐性をアップ[15%]	1 					文明浸食	20	クリティカル威力をアップ													10%
17 	神性/B	与ダメージプラス状態を付与[175]	13 					ロゴスイーター	21	人型の敵からの攻撃に対する防御力をアップ						16%							
18 	対魔力/A	弱体耐性をアップ[20%]	1 																				
18 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
19 	対魔力/C+	弱体耐性をアップ[]	1 																				
20 	対魔力/C	弱体耐性をアップ[15%]	1 																				
20 	神性/B	与ダメージプラス状態を付与[175]	13 																				
21 	対魔力/C	弱体耐性をアップ[15%]	1 																				
22 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
23 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
23 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
23 	単独行動/C	クリティカル威力をアップ[6%]	3 																				
23 	神性/E	与ダメージプラス状態を付与[100]	13 																				
24 	対魔力/A	弱体耐性をアップ[20%]	1 																				
24 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
25 	対魔力/E	弱体耐性をアップ[10%]	1 																				
26 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
