0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,フレポ教/-,4,現在入信中,1,1,1,1,1,1,1,1,1,1
1000,単発教/-,4,成果なし,1,1,1,1,1,1,1,1,1,1
1000,大成功教/-,4,成果なし,1,1,1,1,1,1,1,1,1,1
1,誉れ堅き雪花の壁/-,7,味方全体の防御力アップ(3T)&ダメージカット状態を付与(1回),"15％&2,000","15.5％&2,000","16％&2,000","16.5％&2,000","17％&2,000","17.5%&2,000","18%&2,000","18.5%&2,000","19%&2,000","20%&2,000"
1,時に煙る白亜の壁/-,9,味方単体に無敵状態を付与(1T)＆NPを増やす,x&10,x&11,x&12,x&13,x&14,x&15,x&16,x&17,x&18,x&20
1,奮い断つ決意の盾/-,8,自身にターゲット集中状態を付与(1T)&NP獲得量を大アップ(1T),100%&200％,120%&220％,140%&240％,160%&260％,180%&280％,200%&300％,220%&320％,240%&340％,260%&360％,300%&400％
2,カリスマ/B,7,味方全体の攻撃力をアップ(3T),9%,9.90%,10.80%,11.70%,12.60%,13.50%,14.40%,15.30%,16.20%,18%
2,魔力放出/A,7,自身のバスター性能をアップ(1T),30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
2,直感/A,7,スターを大量獲得,5,6,7,8,9,10,11,12,13,15
3,魔力放出/A,7,自身のバスター性能をアップ(1T),30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
3,直感/B,7,スターを大量獲得,4,5,6,7,8,9,10,11,12,14
3,カリスマ/E,7,味方全体の攻撃力をアップ(3T),6%,6.60%,7.20%,7.80%,8.40%,9%,9.60%,10.20%,10.80%,12%
4,直感/B,7,スターを大量獲得,4,5,6,7,8,9,10,11,12,14
4,魔力放出/A,7,自身のバスターカードの性能をアップ(1T),30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
4,花の旅路/EX,7,味方全体のNP獲得量をアップ(3T),10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
5,頭痛持ち/B,7,自身の精神弱体耐性アップ(3T)&自身のHP回復,50%&500,55%&650,60%&800,65%&950,"70%&1,100","75%&1,250","80%&1,400","85%&1,550","90%&1,700","100%&2,000"
5,皇帝特権/EX,7,60％の確率で自身の攻撃力アップ(3T)&60％の確率で自身の防御力アップ(3T)&自身のHP回復,"22%&22%&1,200","24.2%&24.2%&1,420","26.4%&26.4%&1,640","28.6%&28.6%&1,860","30.8%&30.8%&2,080","33%&33%&2,300","35.2%&35.2%&2,520","37.4%&37.4%&2,740","39.6%&39.6%&2,960","44%&44%&3,400"
5,三度、落陽を迎えても/A,12,自身にガッツ状態を3回付与(5T),300,330,360,390,420,450,480,510,540,600
6,黄金律/C-,8,自身のNP獲得量アップ(3T),15%,17.30%,19.50%,21.80%,24%,26.30%,28.50%,30.80%,33%,37.50%
6,仕切り直し/A,7,自身の弱体解除&自身のHP回復,x&1000,x&1150,x&1300,x&1450,x&1600,x&1750,x&1900,x&2.05,x&2200,x&2500
6,竜殺し/A++,7,自身に竜特効状態付与(3T)&自身に竜特防状態付与(3T)&自身にバスター性能アップ(1T),50%&30%&30％,53%&30%&32％,56%&30%&34％,59%&30%&36％,62%&30%&38％,65%&30%&40％,68%&30%&42％,71%&30%&44％,74%&30%&46％,80%&30%&50％
7,軍略/B,7,味方全体の宝具威力アップ(1T),9%,9.90%,10.80%,11.70%,12.60%,13.50%,14.40%,15.30%,16.20%,18%
7,カリスマ/C,7,味方全体の攻撃力アップ(3T),8%,8.80%,9.60%,10.40%,11.20%,12%,12.80%,13.60%,14.40%,16%
7,扇動/EX,7,味方単体のクリティカル威力アップ(3T)&味方単体のスター発生率アップ(3T)&味方単体の防御力ダウン(3T)【デメリット】,20%&50%&20%,22%&55%&20%,24%&60%&20%,26%&65%&20%,28%&70%&20%,30%&75%&20%,32%&80%&20%,34%&85%&20%,36%&90%&20%,40%&100%&20%
8,軍略/B,7,味方全体の宝具威力をアップ(1T),9%,9.90%,10.80%,11.70%,12.60%,13.50%,14.40%,15.30%,16.20%,18%
8,天性の肉体/EX,7,自身の攻撃弱体耐性アップ(3T)＆HPを大回復＆スター集中度をアップ(1T),"60%&1,000&100％","66%&1,200&120％","72%&1,400&140％","78%&1,600&160％","84%&1,800&180％","90%&2,000&200％","96%&2,200&220％","102%&2,400&240％","108%&2,600&260％","120%&3,000&300％"
8,星の紋章/EX,7,自身の攻撃力をアップ(3T)＆スターを獲得,10%&5,12%&6,14%&7,16%&8,18%&9,20%&10,22%&11,24%&12,26%&13,30%&15
9,軍略/C,7,味方全体の宝具威力アップ(1T),8%,8.80%,9.60%,10.40%,11.20%,12%,12.80%,13.60%,14.40%,16%
9,黄金律/B,8,自身のNP獲得量アップ(3T),18%,20.70%,23.40%,26.10%,28.80%,31.50%,34.20%,36.90%,39.60%,45%
9,プレラーティの激励/B,7,自身のバスターカードの性能をアップ（5T）,20,22,24,26,28,30,32,34,36,40
10,心眼（真）/C,8,自身に回避状態を付与(1T)&自身の防御力アップ(3T),x&8%,x&8.8%,x&9.6%,x&10.4%,x&11.2%,x&12%,x&12.8%,x&13.6%,x&14.4%,x&16%
10,自己暗示/A,7,自身の弱体状態解除&自身の弱体耐性大アップ(3T),x&50%,x&55%,x&60%,x&65%,x&70%,x&75%,x&80%,x&85%,x&90%,x&100%
10,麗しの風貌/C,7,自身にターゲット集中状態を付与(3T)&自身のHP大回復,"100%&1,000","120%&1,150","140%&1,300","160%&1,450","180%&1,600","200%&1,750","220%&1,900","240%&2,050","260%&2,200","300%&2,500"
11,心眼（真）/B,8,自身に回避状態を付与(1T)&自身の防御力をアップ(3T),x&9%,x&9.9%,x&10.8%,x&11.7%,x&12.6%,x&13.5%,x&14.4%,x&15.3%,x&16.2%,x&18%
11,鷹の瞳/B+,7,自身のスター発生率アップ(3T)&自身のクリティカル威力をアップ(3T),50%&50％,55%&55％,60%&60％,65%&65％,70%&70％,75%&75％,80%&80％,85%&85％,90%&90％,100%&100％
11,投影魔術/A,7,自身のアーツ性能をアップ(1T)&自身のクイック性能をアップ(1T)&自身のバスター性能をアップ(1T),25%&25%&25％,26.5%&26.5%&26.5％,28%&28%&28％,29.5%&29.5%&29.5％,31%&31%&31％,32.5%&32.5%&32.5％,34%&34%&34％,35.5%&35.5%&35.5％,37%&37%&37％,40%&40%&40％
12,カリスマ/A+,7,味方全体の攻撃力をアップ(3T),10.50%,11.60%,12.60%,13.70%,14.70%,15.80%,16.80%,17.90%,18.90%,21%
12,黄金律/A,8,自身のNP獲得量アップ(3T),20%,23%,26%,29%,32%,35%,38%,41%,44%,50%
12,バビロンの蔵/EX,7,自身にスター集中状態大を付与(3T)&自身のNPを増やす,300%&20%,330%&21%,360%&22%,390%&23%,420%&24%,450%&25%,480%&26%,510%&27%,540%&28%,600%&30%
13,破壊工作/A,7,敵全体の攻撃力ダウン(3T)&敵全体に毒状態付与(5T),5%&500,6%&500,7%&500,8%&500,9%&500,10%&500,11%&500,12%&500,13%&500,15%&500
13,黄金律/E,8,自身のNP獲得量アップ(3T),12%,13.80%,15.60%,17.40%,19.20%,21%,22.80%,24.60%,26.40%,30%
